ID,Text,Label
@MdNaeemHossain-kx2vs,"ডিবি ,ডিজিএফআই,এনএসআই এতা গোয়েন্দা কি করলো ,?এখানেই বোঝা যায় আল্লাহই উত্তম পরিকল্পনাকারী,হাসবুনাআল্লাহুওেয়া নি’মাল ওয়াকিল",1
@ABULKALAMABDURROB,এ ভাবেই দীনের বিজয় দান করেন মহান আললাহ,1
@AbuBakarstudent-w3x,বাংলাদেশ জামায়াতে ইসলামী জিন্দাবাদ জিন্দাবাদ,1
@surayaaktershumi6338,Alhamdulillah,1
@mhtune,welcome,1
@MdImran.-zx3zm,তাই শিবিরের ছেলে ওরা এত ব্রিলিয়ান্ট কেন?আমি আমার জীবনের যত শিবির দেখেছিস সবাই এক একজন মেধাবী।যেমন বুয়েটের শিক্ষার্থী আবরার ফাহাদ।,1
@alaminmia-lu9ib,জামাত ইসলামের রাজনীতির কৌশল বুঝতে হলে তোমাদেরকে হাজার বার জন্ম নিতে হবে।,1
@deshagrotulshirabad1314,ধর ধর রাজাকার ধর। আর নাসতা কর।,0
@mdmanikmiya66,নরওয়ে তাকবীর আল্লাহু আকবার।,1
@mizanur-j1n,ছাত্র রাজনীতি না নিষিদ্ধ তাহলে এগুলো কী,0
@simplescience777,"আমি মনে করি ধর্ম ও রাজনীতি একে অপরের সাথে মেশানো উচিত নয়। কারণ ধর্ম একটি স্থির বিশ্বাসব্যবস্থা, যা মূলত বিশ্বাসের উপর নির্ভর করে এবং এর নতুন চিন্তাধারার সুযোগ খুবই সীমিত। অন্যদিকে, একটি দেশের অগ্রগতি বিজ্ঞান বা সমালোচনামূলক চিন্তার মতো—যেখানে সমালোচনা, বিশ্লেষণ এবং নতুন আইডিয়াকে স্বাগত জানানো হয়। দেশের উন্নতির জন্য আমাদের উদ্ভাবনী ধারণা এবং যৌক্তিক চিন্তার প্রয়োজন, যা ধর্মের কাঠামোয় সীমাবদ্ধ থাকে না। ধর্মের মূলে বিশ্বাস থাকলেও, সমালোচনামূলক চিন্তার মূলে থাকে সংশয় এবং সন্দেহ, যা নতুন সমাধান এবং উন্নতির জন্য অপরিহার্য।
<br>
<br>ধর্ম দ্বারা পরিচালিত রাজনীতি দেশ এবং মানুষের জন্য খুবই ক্ষতিকর হতে পারে। কারণ এটি আমাদের সমস্যাগুলোর সমাধান করতে সক্ষম নয়। আমাদের আরও নমনীয় একটি ব্যবস্থার প্রয়োজন, যা ধর্মের কঠোর কাঠামোর চেয়ে বেশি উদার এবং আধুনিক চিন্তার সাথে সামঞ্জস্যপূর্ণ।
<br>
<br>আমরা যদি একসাথে একই মসজিদে নামাজ না পড়ি বা একই সমাজ বা গ্রামে না থাকি, তাহলে আমি কেন অন্যের ধর্ম সম্পর্কে জানতে যাব? এই সব সীমার বাইরে রাষ্ট্রধর্ম আছে, অর্থাৎ দেশের আইন এবং মানবিক নীতিমালা, যা সম্পর্কের ক্ষেত্রে মেনে চললেই হয়। স্বর্গ বা নরক তো একান্ত আল্লাহর এবং ব্যক্তিগত বিষয়। বিচার দিবস পর্যন্ত কেউই জানবে না কে কোথায় যাবে। তাই এ বিষয়টি একপাশে রেখে শুধু একটি কাজ করা—কাউকে ইচ্ছাকৃতভাবে ক্ষতি না করা এবং দয়ালু হওয়া। ধর্মভিত্তিক রাজনিতি কক্ষনোই ভাল কিছু আনতে পারবেনা এবং তা বিভাজন ও সমস্যা সৃষ্টি করবে ।",0
@fuhadbhuiyan833,"o chatro shibir er sobapoti chilo eta kono goenda sokhocta information pae nai obak kora bepar,,,nsi,dgfi,db, theke jara kina cha er dokan a ki hoe khobor rakhe tara or porichoe pailo na,,eta nischit sokol somoyonnok er bepare information collect korce but sobapoti eta janlo naa😮koto ta medabi hole eta korte pare,,,believe or not ai chele ghula sorkar a asle amra ek onno rokom desh pavo❤",1
@ABRAR-q3f,শিবিরের ছেলেরা সবসময় মেধাবী সৎ এবং দেশ প্রেমিক হয়।,1
@mddinislam7943,আলহামদুলিল্লাহ,1
@S.MSaymon-c8p,শিবির বিদ্বেষী থেকে দিন দিন শিবির প্রেমী হয়ে উঠছি 😊,1
@MrMamun-cc5lr,আলহামদুলিল্লাহ,1
@delwarkhandakar5561,আলহামদুলিল্লাহ,1
@MuslimTV90,ছাত্র শিবির জিন্দাবাদ,1
@Tareqsumon-y6r,🇧🇩 ছাত্রশিবির  হল মানবতার আদর্শ। <br> 🇧🇩ছাত্র শিবির শিক্ষানের শান্তির রূপকার । <br>🇧🇩ছাত্রশিবির মেধাবী শিক্ষার্থীরা মিলন মেলা। <br>🇧🇩ছাত্রশিবির শিক্ষকদের সম্মানের হেফাজত কারি।<br>🇧🇩ছাত্র শিবির ছাত্রীদের ইজ্জতের হেফাজত কারি <br>🇧🇩ছাত্রশিবির৷  স্বাধীন  সার্বভৌমত্বতের অস্ত্রপহরি।<br>ইনশাআল্লাহ  আগামিতে ছাত্র শিবির  দেশ সংস্কার ও দেশ গঠনের ভূমিকা রাখবে 🇧🇩🤲💪,1
@abusayem2508,Alhumdulillah ❤️❤️ ❤️,1
@nahidhasan4344,আল হামদুলিল্লাহ ❤️,1
@abbasliton3733,❤ ধন্যবাদ ATN,1
@naeemislam7968,ছাত্রশিবির একসময় পুরা বাংলাদেশ শাসন করবে ইনশাআল্লাহ,1
@viral69958,Abaro rog katakati shuru kora hbe naki bhai🥱,0
@ashrafulislam447,এদেশের গুরুত্বপূর্ণ চেয়ারগুলো যদি জামাত -শিবিরের লোকজন পায় তাহলে হীরার টুকরা একটা রাষ্ট্র উপহার দিবে ইনশাআল্লাহ। আমরা আগামীর নির্বাচনে নিজের মূল্যবান ভোটটা দিতে যেন ভুল না করি।সকল প্রকার অন্যায়ও অপরাধ বন্ধের একমাত্র প্রতিষ্ঠান জামাতে ইসলামী।,1
@JoynalJoynal-r8c,ইসলামী ছাত্র শিবির জিন্দাবাদ 💐☝️☝️,1
@dtkobisabbirhossain,ছাত্রশিবির জিন্দাবাদ 🇵🇸🇧🇩💪,1
@homayunkabir-xs9vn,মাশাআল্লাহ আলহামদুলিল্লাহ আল্লাহু আকবার,1
@najmaaktar-je6ti,Alhamdulillah,1
@NEPTUNE-r8s,"বি,এন,পি আছে চাঁদাবাজি আর লুটপাটের জায়গা দখল করতে মরিয়া।আর জামাত আছে শিক্ষা প্রতিষ্ঠান আর প্রশাসন দখল নিতে মরিয়া। আগামীতে খেলা হবে জামাতের সাথে বি,এন,পি।",2
@WIDE_X_MISHU,"এই বলদ&#39;রে কে দিছে খবর পড়তে? <a href=""https://www.youtube.com/watch?v=Dt70TLrjkSU&amp;t=105"">1:45</a>",0
@samiulislam1109,Alhamdulillah,1
@NawrinSikder-h7r,Shibir is the best for Bangladesh.,1
@sabbirrahman2151,আলহামদুলিল্লাহ,1
@AbuYousuf-qx9ew,আলহামদুলিল্লাহ,1
@LijaAkter-cv4hv,আলহামদুলিল্লাহ,1
@Taskinrana89,মাশাআল্লাহ বাংলাদেশ জামায়াত ইসলামী জিন্দাবাদ,1
@SOHELRANA-ys3yt,"কেন্দ্রীয় সমন্বয়কের মুখোশ পাল্টে<br>নিজ দলের পদে আত্মপ্রকাশ, ঢাবির শিবির সভাপতি সাদিকের,<br>রাজাকার স্লোগান টা ভুল ছিলো না।",0
@muhammadkaiumtalukdar5639,ছাত্রশিবির করতে হলে যোগ্যতা লাগে,1
@belaluddinrony742,বাংলাদেশ ইসলামি ছাত্র শিবির জিন্দাবাদ,1
@oliuddin6829,Alhamdulillah for Everything,1
@AbuTaher-kn4nt,আদর্শিক সংগঠন,1
@AbuTaher-kn4nt,"আলহামদুলিল্লাহ,",1
@mostaqurrahman439,এটা তো আবাল বৃদ্ধ বনিতা সবাই জানতো যে শিবির প্রত্যক্ষভাবে এই ছাত্র জনতার আন্দোলনের ভূমিকায় ছিল‌।<br>ইটস এন ওপেন সিক্রেট নোন টু অল।<br>শুধু অজানা ছিল এটাই যে ছাত্রদের মধ্যে কে কোন ব্যক্তি শিবিরের ছেলে। এতটুকুই।<br>কাজেই আমি অবাক হচ্ছি না।,1
@AbdurRashid-zg3xb,বাংলার সূর্য সন্তান ❤,1
@tondagamer8489,শিবির মানেই আদর্শ,1
@KHAN-x5q1u,"শিবিরের প্রডাক্ট গুলি এমনই। একেক টা নিউক্লিয়ার, মেধাবী দেশ প্রেমিক।",1
@SenamulHoque-z6g,I like shibir,1
@MohammadRaju-g6p,শিবির শিবির জিন্দাবাদ,1
@saidurrahmansayed7972,ভালো মানুষ কাকে বলে যদি জানতে চান তবে শিবিরকে দেখুন।,1
@amirulislam3056,আলহামদুলিল্লাহ,1
@LutfunnessaBegum-z1z,ক্যাম্পাসে মেধা বা হে***র যে কোনো ধরনের রাজনৈতিক দল সম্পূর্ণ নিষিদ্ধ। জামাত শিবিরের সন্ত্রাসী সংগঠন গুলো ক্যাম্পাসে সন্ত্রাসী কর্মকাণ্ড করার জন্য আবারো শুরু করতে চাইছে 😠😠😠,0
@sharminnury6841,"দেশটা আর রক্ষা হলো না!ধ্বংসের দিকে এগোচ্ছে। এতোদিন এদেরকে মেধাবী বলে আসছি।ওরা নাকি ছাত্র ছিলো। ওরা তো এক-একটা দেশের শত্রু😡😡<br>ছাত্র নাম করে সাধারণ মানুষকে ধোকা দিয়েছে।এখন বুঝা যাচ্ছে,কাদের ইশারায় মসজিদ দখল ও হামলা ,মাজার,মন্দির ভাঙ্গা হয়েছে। নেপথ্যে তো এই মেধাবীরাই😡😡😡",0
@Mughal_shala_babar,"হকস্টিক থাকবে না, তবে চাকু দিয়ে রগ কাটব",0
@sakilAhmed-gc2po,শেখ হাসিনা ক খানকির পোলা দালাল মিডিয়া,0
@akkasali9652,সাব্বাস বাঘের বাচ্চা ❤❤❤,1
@Shahidul1785,মাশাল্লাহ। ❤,1
@ahmedabdullah7156,ডিজিএফআই এনএসআই এসবি ডিবি কে বলবো এই শিবির নেতার কাছে আপনাদের অনেক শিখার আছে । সাদিক অনেক আগে থেকেই শিবির সভাপতি  কিন্তু কেউ জানতো না ওনার কৌশল গোয়েন্দা সংস্থাকেও কেও হার মানাই ।,1
@mdnurzzaman4920,"ছাত্র শিবিরের  ছাত্ররাই সত,যোগ্য, মেধাবী ,  চরিত্র  বান,দেশ পরি চালনার  ক্ষমতা রাখে।",1
@jubayeralrafi6551,"জামাত শিবির কে যত বাধা দিবেন, যত সমালোচনা করবেন শিবির তত বেশি দ্রুতি  নিয়ে সামনে এগিয়ে যাবে ইনশাআল্লাহ 🥇♾️🏁",1
@DidarRosul-z8p,ছাত্রশিবির কি এদেশে আকাশ থেকে পড়েছে যে এমন করে বলতে হবে।<br>ছাত্রশিবির ঢাকা বিশ্ববিদ্যালয়ের কি ছাত্র হতে পারবে না।<br>অবশ্যই পারবে। যোগ্যতা দিয়ে পারবে,1
@MdBoss-j1r,"বালের সাংঘাতিক ইসলামি ফ্যাসিবাদ না, আওয়ামী ফ্যাসিবাদ হবে খবরে ভুল বাল বলা ঠিক না",1
@mohammadmonjurulislam3627,আলহামদুলিল্লাহ আলহামদুলিল্লাহ আলহামদুলিল্লাহ আলহামদুলিল্লাহ আলহামদুলিল্লাহ আলহামদুলিল্লাহ <br>হে আল্লাহ তুমি শিবির সভাপতি ভাই টিকে নেক হায়াত দান করুন আমীন আমীন আমীন,1
@mohammadmonjurulislam3627,"আপনারাই এই জাতির শ্রেষ্ঠ সন্তান। আপনাদের ঋণ কোন দিন শোধ হবে না। ধন্যবাদ ও কৃতজ্ঞতা আপনাদের প্রতি , আল্লাহ সদয় হউক",1
@malihasakandar3682,সাদিক kaqum 🎉🎉🎉❤❤❤,1
@shariffashion1983,"মুনাফেক, মির্জাপর",0
@malihasakandar3682,"Alhamdullia, ❤ shibir ভাই দের voy এ হাসিনা magi পালিয়ে গেছে, সাদিক kaqum আপনি agia jao ♥️ Pura দেশ আছে tomar সাথে 🎉🎉🎉🎉❤❤❤",1
@EnamulSheikh-l7k,Jamatislam good party ❤,1
@MdJakir-sv2ez,ভালোবাসা থাকবে অবিরাম ইনশাআল্লাহ।,1
@md.kamruzzaman9365,রাজাকারের সভাপতি,0
@JibonKhan-lo4zc,শিবির একটা শান্তি প্রিয় সংগঠন,1
@rohmankholil2382,"২৪সালের মুক্তিযুদ্বা নাম করে ৭১কে ঢাকতে চায়। কারন তারা তো বৃটিশ থেকে সুরু করে,৪৭সালে শেষমেশ ৭১সালেও রাজাকারি করেছে।",0
@Online_Computer_BSL,"কোন কোটায় সাংবাদিক হয়েছেন? <a href=""https://www.youtube.com/watch?v=Dt70TLrjkSU&amp;t=106"">1:46</a> “আওয়ামী ফ্যাসীবাদকে” <b>ইসলামী ফ্যাসীবাদ</b> পড়েন?",2
@sujonahmed3913,আলহামদুলিল্লাহ শিবির মানে <br>ভদ্র একটা ছেলে হবে❤,1
@Online_Computer_BSL,"কোন কোটায় সাংবাদিক হয়েছেন? <a href=""https://www.youtube.com/watch?v=Dt70TLrjkSU&amp;t=106"">1:46</a> “আওয়ামী ফ্যাসীবাদকে” <b>ইসলামী ফ্যাসীবাদ</b> পড়েন?",2
@nilakash85233,ছাত্র শিবির একটি সন্ত্রাসী সংগঠন। এতদিন এরা মাঝেমধ্যে চোরাগোপ্তা হামলা করে গর্তে লুকিয়ে থাকত। সেনাবাহিনীর একটি ভুল সিদ্ধান্তের জন্য আজ এই সন্ত্রাসীরা প্রকাশ্যে বিচরণ করছে।,0
@RafatulislamSajol-h2k,❤❤❤🎉Alhamdulillah ❤❤❤satro Shibir Zindabad.. ❤,1
@golapsheikh4468,Al-Hamdulillah <br>Allah pak jeno take akjon diner dawa hishebe kobul koren.<br>Satro shibir zindabad...,1
@LccHridoy,নীল নদের পানি যেমন নীল নয় জামাতে ইসলাম মানেই ইসলাম নয়<br>(((মাওলানা আব্দুল হামিদ খান ভাসানী))),0
@MonirHossin-lr3fj,ছাএ শিবির  মানুষকে মানুষ হতে শেখায় আর ছাএলীগ মানুষকে অমানুষ হতে শেখায় ।,1
@skhasibkhan2812,লিল্লাহি তাকবির আল্লাহু আকবার,2
@MonirulIslam-tg3to,"আলহামদুলিল্লাহ, হাজারো লাখো সাদিক ভাইয়েরা আপনারা এগিয়ে যান, আমরা আছি আপনাদের পাশে....",1
@MMk-w1s,আলহামদুলিল্লাহ,1
@MohammadNurulislam-n9i,যতই দেখছি জামায়াত আর ছাত্রশিবির এর সদস্যদের ততই ভালো লাগছে। খুনি হাসিনা এতোদিন এই ভালো মানুষগুলোকে জনগণের সামনে খারাপ সাজানোর অনেক চেষ্টা করেছিল পরবর্তীতে হাসিনার চালাকি বাংলাদেশের জনগণ বুঝতে পারে। আলহামদুলিল্লাহ।,1
@MdminarulIslam-p6q,মহান আল্লাহ এই দেশকে ইসলামী শাসন ব্যবস্থা কায়েমের সকল রহমত আমাদের দান করুন।,1
@munnaruhul8458,"সাদিক কায়েম যে দলেরই হোক না সে একজন বলিষ্ঠ যোদ্ধা, যারা সৈরাচারের বিরুদ্ধে জীবন বাজি রেখে যুদ্ধ করেছে এরাই দেশপ্রেমিক জনগণ প্রেমিক এরাই দেশকে ভালোবেসে এগিয়ে নিয়ে যাবে",1
@abdurrashid690,তাহলে সময়ন্বয়করা সবাই ছাত্র শিবির ছিল !! কথায় বলে সুচ হয়ে ঢুকে ফাল হয়ে বেরিয়েছে !!,0
@AsadurRahman-p7h,Thank you,1
@hirakhan9227,চমৎকার 😮🎉,1
@nayanahmed6534,আলহামদুলিল্লাহ <br>বাংলাদেশ ইসলামি ছাত্র শিবির,1
@JakirHossain-ei4gp,ছাত্র শিবির একমাত্র সংগঠন যারা এই দেশটাকে প্রকৃতভাবে মনে প্রাণে ভালোবাসে এবং সততা সত্যবাদিতা আনুগত্য নিষ্ঠা শৃংখলার মতো বহু গুণে গুণান্বিত,1
@RabiulIslam-xm2wr,অভিনন্দন,1
@KaleyLHenry-m8s,বাংলাদেশ ইসলামি ছাত্র শিবিরের মাত্র একজন কান্ডারী পরিচয় দিয়েছে।<br>ধীরে ধীরে আরো বহু কান্ডারী পরিচয় বাহির হয়ে আসবে।,1
@RabiulIslam-xm2wr,"আলহামদুলিল্লাহ,,,",1
@DavidMarshell-f4p,মানুষ কে বোকা বানানো এদের কাজ। মুনাফিক। ওরা সবাই শিবির। মানুষ জানলে। কেউ পিছনে দাড়াতো না। সেটা ওরা ও জানে,0
@Niru-69,তাই তো বলি তুমি কে আমি কে রাজাকার এই শ্লোগান কেনো আসলো।,0
@mohammadsahalom6659,"হে আল্লাহ , বাংলাদেশের নেয়ামত ছাত্রশিবির কে প্রজ্ঞা দান করো। তোমার দ্বীনের জন্য কবুল কর।",1
@RabikulIslam-s6p,বাংলাদেশ জামাত ইসলামী জিন্দাবাদ জিন্দাবাদ জিন্দাবাদ,1
@hmakash8489,দেশ বাঁচাও হলে শিবির ছাড়া উপায় নাই। হাসিনা সরকার মুসলিম ভাই ভাই এর মধ্যে ঝামেলা লাগিয়ে দিয়েছে যার ফলে সুবিধা পাচ্ছে ভারত,1
@MDAbduljalil-q9c,আল্লাহ তাকে  সুস্থ রাখো  দীর্ঘায়ু কামনা করি,1
@ALAUDDINMia-y4s,আলহামদুলিল্লাহ,1
@figtheme,ছেলেটা দারুণ বলেছে।,1
@shahidulislam-sm9vh,আমি জেনেছিলাম ৬ সমন্বয়ক গ্রেফতার হওয়ার পরে বেসরকারি বিশ্ববিদ্যালয় আন্দোলন আর ছড়িয়ে পড়ার পিছনে একটি সংগঠনের ভূমিকা ছিল।,2
@ronnieq2023,"শিবিরের বিরুদ্ধে চাঁদাবাজি, সন্ত্রাসী কার্যকলাপ, নারী নির্যাতনের কোন অভিযোগ নাই। এরা আদর্শিক দিক থেকে অন্যান্য ছাত্র সংগঠনগুলো থেকে এগিয়ে।",1
@mahfuzsiam,"আন্দোলনের সময় তার পরিচয় প্রকাশ করলে, হাসিনা আর Raw মিলে ওকে আয়না ঘরে পাঠিয়ে দিতো ।",1
@yeasenarafatdarun8292,"Deka jak,",2
@hsajjad10115,আপনারা কি চোখে দেখে জেনে শুনে ভূল পড়েন? এখানে লিখা আছে আওয়ামী ফ্যাসিবাদ আর আপনি পড়লেন ইসলামী ফ্যাসিবাদ! ইসলামে কোন ফ্যাসিবাদ নাই আছে শরিয়াহ।,1
@narayandas-dj9pg,ঢাকা বিশ্ববিদ্যালয় কোন  ছাএ রাজনীতি দরকার নাই ❌👎👎,0
@M.M.H.M.,আলহামদুলিল্লাহ বাংলাদেশ ইসলামি ছাত্র শিবির জিন্দাবাদ,1
@shawonsrabon9938,আহারে অভিনয় 😂,0
@worldofcolour8322,ছাত্র শিবির একটি শৃঙ্খলার নাম,1
@dhossain6149,বাংলাদেশ ইসলামী ছাত্র শিবির জিন্দাবাদ,1
@shahriarshamim6155,আলহামদুলিল্লাহ,1
@mrquiet143,সুসংগঠিত মেধাবী ছাত্র সংগঠন,1
@arifbillah671,"আগামীর বাংলাদেশ, জামাতে ইসলামের বাংলাদেশ",1
@MohammedEmonchy,Mashallah,1
@161sm,বাংলাদেশ ইসলামী ছাত্রশিবির জিন্দাবাদ ✊,1
@ShahJahan-oj1ld,Shibir Zindabab.,1
@ElaraJahan-kg4lr,কি মন্তব্য পুরাই অবাক আমি 😢,2
@gloriousacademiccoaching9684,সত্য  কথাগুলো তুলে ধরার জন্য আপনাকে অসংখ্য ধন্যবাদ,1
@emography,তো কি হয়েছে এতো মাতামাতি কিসের।,2
@gloriousacademiccoaching9684,জামাত মানেই রাসুল সোঃ  ও আল্লাহ  সৈনিক,1
@mdzubayer7198,আলহামদুলিল্লাহ আল্লাহ আপনি নেক হায়াত বাড়িয়ে দিন,1
@Subin_Khan,নিউজ আর পায়না...😂 . কে কোন মতাদর্শের বিশ্বাসী এটা এখন নিউজ..পারলে খুঁজে বের করেন ছাত্র লীগের নেতা কে এখন 😂,0
@Traveleroftheworld02,"আলহামদুলিল্লাহ শিবির মানেই আগুন, তারা আল্লাহর পথে অবিচল থাকে আলহামদুলিল্লাহ",1
@muslim1098,শিবির ছাড়া এরকম মাস্টার মাইন্ড প্ল্যান করা সম্ভব না✨,1
@saikat4720,ছাত্র শিবির জিন্দাবাদ,1
@মোঃহাবিব-হ৮গ,শিবির ❤❤❤❤❤❤❤❤❤,1
@HabibMeya-y1f,শিবির করতে কলিজা লাগে,1
@MdRubel-f6o,Ami jantamna ei chele sibir Alhamdulillah allah vi islamer jonno kobul koruk,1
@MDSanaulla-d7g,আল্লাহু আকবার,1
@MDSanaulla-d7g,আলহামদুলিল্লাহ,1
@kalamuddin4253,Gaddarer bacha,0
@Darkgggx,হাসিনা আগেই বলছিল এরা সাধারণ ছাত্র নয়। এরা শিবিরের সন্ত্রাসী। আন্দলনকারী ছাত্র হিসাবে আজ আমি লজ্জিত। <br>দেশ এর অনেক বড় ক্ষতি করে ফেলছি আমরা।😢<br>পারলে ক্ষমা করে দিয়েন।,0
@MAKamalChowdhureMAKamalChowdhu,Bangladesh Islami Shatro Shibir❤❤❤,1
@JubayerHossenJubayer,বালো লাগলো,1
@MdTasrifulIslam-p4v,Alhamdulillah,1
@zabinsubah8993,ওনি শিবির করছে কি হইছে।  বুঝি না। এরা ত আর ছাত্রলিগের মত প্রকাশ্যে খুন করেনা। আজব!  শিবির শ্বদ দিয়ে ভারত আর পশ্চিমা দের প্রপাগান্ডা সক্রিয় করছেননাকি,1
@AfruzaAktherNiyazi,হটাও শিবির বাঁচাও দেশ,0
@mdrafiqulislam2638,"ধন্যবাদ ভাই,,<br>বাংলাদেশ জামায়াত ইসলামি জিন্দাবাদ",1
@MdGoljarRohmanGoljarRohman,আলহামদুলিল্লাহ ❤,1
@tofayeltuhin42,kharap ki asa??,2
